Index,Positive Score,Negative Score,Polarity Score,Subjectivity Score
0,0,1,-0.9999990000010001,0.12499998437500197
1,1,1,0.0,0.15384614201183525
2,0,0,0.0,0.0
3,0,1,-0.9999990000010001,0.12499998437500197
4,0,0,0.0,0.0
5,1,0,0.9999990000010001,0.11111109876543349
6,1,1,0.0,0.33333327777778704
7,1,0,0.9999990000010001,0.11111109876543349
8,1,0,0.9999990000010001,0.1428571224489825
9,0,1,-0.9999990000010001,0.11111109876543349
10,0,0,0.0,0.0
11,0,1,-0.9999990000010001,0.1428571224489825
12,1,2,-0.33333322222225925,0.4285713673469475
13,1,0,0.9999990000010001,0.16666663888889352
14,0,0,0.0,0.0
15,0,1,-0.9999990000010001,0.09090908264462885
16,1,0,0.9999990000010001,0.09999999000000101
17,0,0,0.0,0.0
18,0,1,-0.9999990000010001,0.09090908264462885
19,0,1,-0.9999990000010001,0.16666663888889352
20,1,1,0.0,0.22222219753086697
21,0,0,0.0,0.0
22,0,0,0.0,0.0
23,0,0,0.0,0.0
24,0,0,0.0,0.0
25,0,2,-0.99999950000025,0.399999920000016
26,1,0,0.9999990000010001,0.1428571224489825
27,0,0,0.0,0.0
28,0,1,-0.9999990000010001,0.16666663888889352
29,0,1,-0.9999990000010001,0.1428571224489825
30,2,0,0.99999950000025,0.1818181652892577
31,1,1,0.0,0.24999996875000394
32,0,1,-0.9999990000010001,0.09999999000000101
33,1,0,0.9999990000010001,0.11111109876543349
34,1,1,0.0,0.33333327777778704
35,0,1,-0.9999990000010001,0.199999960000008
36,0,0,0.0,0.0
37,1,1,0.0,0.399999920000016
38,2,0,0.99999950000025,0.22222219753086697
39,1,0,0.9999990000010001,0.12499998437500197
40,1,0,0.9999990000010001,0.1428571224489825
41,0,1,-0.9999990000010001,0.1428571224489825
42,0,1,-0.9999990000010001,0.199999960000008
43,1,0,0.9999990000010001,0.11111109876543349
44,0,1,-0.9999990000010001,0.16666663888889352
45,0,2,-0.99999950000025,0.285714244897965
46,1,0,0.9999990000010001,0.09999999000000101
47,1,0,0.9999990000010001,0.199999960000008
48,0,0,0.0,0.0
49,1,0,0.9999990000010001,0.1428571224489825
50,0,0,0.0,0.0
51,0,2,-0.99999950000025,0.285714244897965
52,0,1,-0.9999990000010001,0.16666663888889352
53,1,0,0.9999990000010001,0.12499998437500197
54,0,1,-0.9999990000010001,0.1428571224489825
55,1,0,0.9999990000010001,0.199999960000008
56,0,1,-0.9999990000010001,0.199999960000008
57,1,0,0.9999990000010001,0.499999750000125
58,0,0,0.0,0.0
59,0,3,-0.9999996666667778,0.33333329629630043
60,0,0,0.0,0.0
61,0,0,0.0,0.0
62,0,1,-0.9999990000010001,0.1428571224489825
63,0,0,0.0,0.0
64,1,0,0.9999990000010001,0.09999999000000101
65,0,1,-0.9999990000010001,0.12499998437500197
66,0,0,0.0,0.0
67,0,0,0.0,0.0
68,1,0,0.9999990000010001,0.12499998437500197
69,0,0,0.0,0.0
70,0,1,-0.9999990000010001,0.12499998437500197
71,0,0,0.0,0.0
72,1,0,0.9999990000010001,0.11111109876543349
73,1,0,0.9999990000010001,0.11111109876543349
74,0,1,-0.9999990000010001,0.1428571224489825
75,0,0,0.0,0.0
76,0,1,-0.9999990000010001,0.199999960000008
77,0,1,-0.9999990000010001,0.16666663888889352
78,0,0,0.0,0.0
79,1,1,0.0,0.22222219753086697
80,1,0,0.9999990000010001,0.16666663888889352
81,1,1,0.0,0.1818181652892577
82,0,0,0.0,0.0
83,0,0,0.0,0.0
84,0,1,-0.9999990000010001,0.11111109876543349
85,1,0,0.9999990000010001,0.1428571224489825
86,0,0,0.0,0.0
87,1,1,0.0,0.399999920000016
88,3,1,0.49999987500003124,0.4999999375000079
89,1,1,0.0,0.285714244897965
90,1,0,0.9999990000010001,0.16666663888889352
91,0,0,0.0,0.0
92,0,0,0.0,0.0
93,1,1,0.0,0.1818181652892577
94,1,1,0.0,0.285714244897965
95,1,0,0.9999990000010001,0.09090908264462885
96,1,1,0.0,0.285714244897965
97,0,3,-0.9999996666667778,0.49999991666668053
98,0,0,0.0,0.0
99,0,0,0.0,0.0
100,0,0,0.0,0.0
101,1,0,0.9999990000010001,0.16666663888889352
102,1,1,0.0,0.24999996875000394
103,1,0,0.9999990000010001,0.199999960000008
104,0,3,-0.9999996666667778,0.33333329629630043
105,0,0,0.0,0.0
106,1,2,-0.33333322222225925,0.4285713673469475
107,1,0,0.9999990000010001,0.16666663888889352
108,1,1,0.0,0.22222219753086697
109,2,1,0.33333322222225925,0.33333329629630043
110,0,0,0.0,0.0
111,0,1,-0.9999990000010001,0.1428571224489825
112,0,0,0.0,0.0
113,2,1,0.33333322222225925,0.33333329629630043
114,1,2,-0.33333322222225925,0.299999970000003
115,2,1,0.33333322222225925,0.33333329629630043
116,0,2,-0.99999950000025,0.16666665277777895
117,0,0,0.0,0.0
118,0,1,-0.9999990000010001,0.12499998437500197
119,0,1,-0.9999990000010001,0.11111109876543349
120,0,1,-0.9999990000010001,0.199999960000008
121,0,0,0.0,0.0
122,1,1,0.0,0.33333327777778704
123,1,0,0.9999990000010001,0.09999999000000101
124,0,1,-0.9999990000010001,0.199999960000008
125,1,0,0.9999990000010001,0.08333332638888948
126,1,1,0.0,0.1818181652892577
127,0,0,0.0,0.0
128,0,0,0.0,0.0
129,1,1,0.0,0.285714244897965
130,0,0,0.0,0.0
131,0,0,0.0,0.0
132,0,0,0.0,0.0
133,0,2,-0.99999950000025,0.24999996875000394
134,0,0,0.0,0.0
135,0,0,0.0,0.0
136,0,0,0.0,0.0
137,0,0,0.0,0.0
138,0,0,0.0,0.0
139,0,0,0.0,0.0
140,0,1,-0.9999990000010001,0.12499998437500197
141,0,0,0.0,0.0
142,0,0,0.0,0.0
143,1,1,0.0,0.285714244897965
144,1,0,0.9999990000010001,0.12499998437500197
145,1,0,0.9999990000010001,0.12499998437500197
146,0,0,0.0,0.0
147,0,0,0.0,0.0
148,0,0,0.0,0.0
149,0,1,-0.9999990000010001,0.1428571224489825
150,0,0,0.0,0.0
151,2,2,0.0,0.44444439506173394
152,0,0,0.0,0.0
153,0,1,-0.9999990000010001,0.16666663888889352
154,0,1,-0.9999990000010001,0.12499998437500197
155,0,1,-0.9999990000010001,0.12499998437500197
156,0,1,-0.9999990000010001,0.12499998437500197
157,0,0,0.0,0.0
158,0,0,0.0,0.0
159,1,3,-0.49999987500003124,0.4999999375000079
160,0,0,0.0,0.0
161,0,0,0.0,0.0
162,1,0,0.9999990000010001,0.199999960000008
163,0,1,-0.9999990000010001,0.09090908264462885
164,0,0,0.0,0.0
165,0,1,-0.9999990000010001,0.16666663888889352
166,0,2,-0.99999950000025,0.399999920000016
167,0,1,-0.9999990000010001,0.33333322222225925
168,0,1,-0.9999990000010001,0.16666663888889352
169,1,0,0.9999990000010001,0.11111109876543349
170,0,0,0.0,0.0
171,0,0,0.0,0.0
172,1,0,0.9999990000010001,0.16666663888889352
173,0,0,0.0,0.0
174,1,0,0.9999990000010001,0.08333332638888948
175,0,0,0.0,0.0
176,0,1,-0.9999990000010001,0.11111109876543349
